county,year,month,precip_in
Calaveras,2021,4,0.76
Calaveras,2021,5,0.05
Calaveras,2021,6,0.0
Calaveras,2021,7,0.0
Calaveras,2021,8,0.0
Calaveras,2021,9,0.08
Calaveras,2021,10,11.84
Calaveras,2021,11,1.93
Calaveras,2021,12,15.32
Calaveras,2022,1,0.29
Calaveras,2022,2,0.43
Calaveras,2022,3,1.4
Calaveras,2022,4,5.77
Calaveras,2022,5,0.29
Calaveras,2022,6,0.27
Calaveras,2022,7,0.0
Calaveras,2022,8,0.27
Calaveras,2022,9,3.36
Calaveras,2022,10,0.1
Calaveras,2022,11,5.78
Calaveras,2022,12,26.62
Calaveras,2023,1,23.04
Calaveras,2023,2,9.04
Calaveras,2023,3,21.38
Calaveras,2023,4,0.39
Calaveras,2023,5,1.46
Calaveras,2023,6,0.16
Calaveras,2023,7,0.0
Calaveras,2023,8,1.23
Calaveras,2023,9,2.24
Calaveras,2023,10,0.49
Calaveras,2023,11,3.87
Calaveras,2023,12,4.29
Calaveras,2024,1,8.07
Calaveras,2024,2,10.31
Calaveras,2024,3,9.43
Calaveras,2024,4,2.92
Calaveras,2024,5,1.26
Calaveras,2024,6,0.0
Calaveras,2024,7,0.0
Calaveras,2024,8,0.06
Calaveras,2024,9,0.05
DEL NORTE,2009,10,6.97
DEL NORTE,2009,11,10.5
DEL NORTE,2009,12,7.18
DEL NORTE,2010,1,16.82
DEL NORTE,2010,2,10.7
DEL NORTE,2010,3,12.79
DEL NORTE,2010,4,14.23
DEL NORTE,2010,5,6.18
DEL NORTE,2010,6,6.56
DEL NORTE,2010,7,0.0
DEL NORTE,2010,8,0.05
DEL NORTE,2010,9,4.27
DEL NORTE,2010,10,8.4
DEL NORTE,2010,11,12.42
DEL NORTE,2010,12,25.0
DEL NORTE,2011,1,4.91
DEL NORTE,2011,2,9.53
DEL NORTE,2011,3,26.47
DEL NORTE,2011,4,10.25
DEL NORTE,2011,5,4.67
DEL NORTE,2011,6,1.62
DEL NORTE,2011,7,0.39
DEL NORTE,2011,8,0.0
DEL NORTE,2011,9,0.34
DEL NORTE,2011,10,6.34
DEL NORTE,2011,11,10.12
DEL NORTE,2011,12,8.1
DEL NORTE,2012,1,20.34
DEL NORTE,2012,2,5.52
DEL NORTE,2012,3,27.89
DEL NORTE,2012,4,12.15
DEL NORTE,2012,5,2.46
DEL NORTE,2012,6,4.03
DEL NORTE,2012,7,0.43
DEL NORTE,2012,8,0.0
DEL NORTE,2012,9,0.0
DEL NORTE,2012,10,6.82
DEL NORTE,2012,11,17.06
DEL NORTE,2012,12,25.24
DEL NORTE,2013,1,5.26
DEL NORTE,2013,2,4.62
DEL NORTE,2013,3,5.76
DEL NORTE,2013,4,6.28
DEL NORTE,2013,5,3.74
DEL NORTE,2013,6,2.34
DEL NORTE,2013,7,0.0
DEL NORTE,2013,8,0.44
DEL NORTE,2013,9,10.65
DEL NORTE,2013,10,0.04
DEL NORTE,2013,11,5.02
DEL NORTE,2013,12,2.35
DEL NORTE,2014,1,3.72
DEL NORTE,2014,2,19.48
DEL NORTE,2014,3,17.19
DEL NORTE,2014,4,4.36
DEL NORTE,2014,5,4.23
DEL NORTE,2014,6,1.08
DEL NORTE,2014,7,0.12
DEL NORTE,2014,8,0.04
DEL NORTE,2014,9,3.28
DEL NORTE,2014,10,13.28
DEL NORTE,2014,11,9.0
DEL NORTE,2014,12,20.24
DEL NORTE,2015,1,5.0
DEL NORTE,2015,2,14.12
DEL NORTE,2015,3,7.96
DEL NORTE,2015,4,5.24
DEL NORTE,2015,5,0.12
DEL NORTE,2015,6,0.6
DEL NORTE,2015,7,0.12
DEL NORTE,2015,8,1.16
DEL NORTE,2015,10,2.92
DEL NORTE,2015,11,9.32
DEL NORTE,2015,12,36.72
DEL NORTE,2016,1,21.8
DEL NORTE,2016,2,7.36
DEL NORTE,2016,3,21.4
DEL NORTE,2016,4,5.08
DEL NORTE,2016,5,0.3
DEL NORTE,2016,6,0.3
DEL NORTE,2016,7,1.0
DEL NORTE,2016,8,0.0
DEL NORTE,2016,9,0.0
DEL NORTE,2016,10,28.68
DEL NORTE,2016,11,14.56
DEL NORTE,2016,12,14.88
DEL NORTE,2017,1,24.14
DEL NORTE,2017,2,32.24
DEL NORTE,2017,3,17.9
DEL NORTE,2017,4,15.4
DEL NORTE,2017,5,2.7
DEL NORTE,2017,6,2.9
DEL NORTE,2017,7,0.0
DEL NORTE,2017,8,0.0
DEL NORTE,2017,9,2.3
DEL NORTE,2017,10,5.28
DEL NORTE,2017,11,20.92
DEL NORTE,2017,12,4.12
DEL NORTE,2018,1,15.72
DEL NORTE,2018,2,4.88
DEL NORTE,2018,3,17.64
DEL NORTE,2018,4,10.2
DEL NORTE,2018,5,0.96
DEL NORTE,2018,6,0.96
DEL NORTE,2018,7,0.28
DEL NORTE,2018,8,0.0
DEL NORTE,2018,9,0.28
DEL NORTE,2018,10,2.64
DEL NORTE,2018,11,9.52
DEL NORTE,2018,12,11.56
DEL NORTE,2019,1,16.6
DEL NORTE,2019,2,24.84
DEL NORTE,2019,3,6.36
DEL NORTE,2019,4,14.36
DEL NORTE,2019,5,5.16
DEL NORTE,2019,6,0.2
DEL NORTE,2019,7,0.0
DEL NORTE,2019,8,0.8
DEL NORTE,2019,9,6.88
DEL NORTE,2019,10,2.76
DEL NORTE,2019,11,3.01
DEL NORTE,2019,12,14.24
DEL NORTE,2020,1,22.44
DEL NORTE,2020,2,1.44
DEL NORTE,2020,3,6.44
DEL NORTE,2020,4,2.8
DEL NORTE,2020,5,8.6
DEL NORTE,2020,6,2.16
DEL NORTE,2020,7,0.0
DEL NORTE,2020,8,0.0
DEL NORTE,2020,9,1.32
DEL NORTE,2020,10,1.76
DEL NORTE,2020,11,9.72
DEL NORTE,2020,12,12.16
DEL NORTE,2021,1,21.24
DEL NORTE,2021,2,14.52
DEL NORTE,2021,3,8.36
DEL NORTE,2021,4,1.36
DEL NORTE,2021,5,0.44
DEL NORTE,2021,6,0.24
DEL NORTE,2021,7,0.02
DEL NORTE,2021,8,0.0
DEL NORTE,2021,9,3.84
DEL NORTE,2021,10,10.52
DEL NORTE,2021,11,8.56
DEL NORTE,2021,12,10.8
DEL NORTE,2022,1,5.28
DEL NORTE,2022,2,0.48
DEL NORTE,2022,3,2.32
DEL NORTE,2022,4,11.06
DEL NORTE,2022,5,4.8
DEL NORTE,2022,6,2.76
DEL NORTE,2022,7,0.38
DEL NORTE,2022,8,0.0
DEL NORTE,2022,9,0.55
DEL NORTE,2022,10,0.59
DEL NORTE,2022,11,9.18
DEL NORTE,2022,12,15.61
DEL NORTE,2023,1,16.85
DEL NORTE,2023,2,8.05
DEL NORTE,2023,3,17.17
DEL NORTE,2023,4,7.04
DEL NORTE,2023,5,2.3
DEL NORTE,2023,6,0.11
DEL NORTE,2023,7,0.0
DEL NORTE,2023,8,0.11
DEL NORTE,2023,9,4.44
DEL NORTE,2023,10,4.5
DEL NORTE,2023,11,7.8
DEL NORTE,2023,12,16.8
DEL NORTE,2024,1,25.13
DEL NORTE,2024,2,15.74
DEL NORTE,2024,3,17.85
DEL NORTE,2024,4,3.06
DEL NORTE,2024,5,4.14
DEL NORTE,2024,6,1.8
DEL NORTE,2024,7,0.0
DEL NORTE,2024,8,4.04
DEL NORTE,2024,9,0.7
DEL NORTE,2024,10,3.9
DEL NORTE,2024,11,29.94
DEL NORTE,2024,12,22.73
DEL NORTE,2025,1,9.47
DEL NORTE,2025,2,15.8
DEL NORTE,2025,3,23.18
DEL NORTE,2025,4,3.69
DEL NORTE,2025,5,2.06
DEL NORTE,2025,6,0.02
EL DORADO,2009,10,3.19
EL DORADO,2009,11,1.79
EL DORADO,2009,12,7.1
EL DORADO,2010,1,8.71
EL DORADO,2010,2,4.98
EL DORADO,2010,3,6.72
EL DORADO,2010,4,6.16
EL DORADO,2010,5,6.54
EL DORADO,2010,6,0.04
EL DORADO,2010,7,0.0
EL DORADO,2010,8,0.0
EL DORADO,2010,9,0.0
EL DORADO,2010,10,9.3
EL DORADO,2010,11,9.68
EL DORADO,2010,12,16.94
EL DORADO,2011,1,2.96
EL DORADO,2011,2,5.47
EL DORADO,2011,3,17.71
EL DORADO,2011,4,2.13
EL DORADO,2011,5,5.24
EL DORADO,2011,6,2.2
EL DORADO,2011,7,0.0
EL DORADO,2011,8,0.0
EL DORADO,2011,9,0.77
EL DORADO,2011,10,3.47
EL DORADO,2011,11,2.04
EL DORADO,2011,12,0.03
EL DORADO,2012,1,6.84
EL DORADO,2012,2,1.67
EL DORADO,2012,3,13.48
EL DORADO,2012,4,7.69
EL DORADO,2012,5,0.27
EL DORADO,2012,6,0.02
EL DORADO,2012,7,0.2
EL DORADO,2012,8,0.0
EL DORADO,2012,9,0.0
EL DORADO,2012,10,2.3
EL DORADO,2012,11,9.28
EL DORADO,2012,12,12.79
EL DORADO,2013,1,1.28
EL DORADO,2013,2,0.92
EL DORADO,2013,3,2.39
EL DORADO,2013,4,2.66
EL DORADO,2013,5,1.28
EL DORADO,2013,6,1.57
EL DORADO,2013,7,0.0
EL DORADO,2013,8,0.0
EL DORADO,2013,9,2.4
EL DORADO,2013,10,0.08
EL DORADO,2013,11,1.8
EL DORADO,2013,12,0.02
EL DORADO,2014,1,1.46
EL DORADO,2014,2,13.58
EL DORADO,2014,3,7.33
EL DORADO,2014,4,4.16
EL DORADO,2014,5,0.71
EL DORADO,2014,6,0.0
EL DORADO,2014,7,0.17
EL DORADO,2014,8,0.0
EL DORADO,2014,9,0.94
EL DORADO,2014,10,1.04
EL DORADO,2014,11,4.34
EL DORADO,2014,12,10.75
EL DORADO,2015,1,0.06
EL DORADO,2015,2,7.54
EL DORADO,2015,3,0.92
EL DORADO,2015,4,3.05
EL DORADO,2015,5,0.84
EL DORADO,2015,6,1.08
EL DORADO,2015,7,0.05
EL DORADO,2015,8,0.0
EL DORADO,2015,9,0.03
EL DORADO,2015,10,4.69
EL DORADO,2015,11,5.72
EL DORADO,2015,12,13.55
EL DORADO,2016,1,13.54
EL DORADO,2016,2,5.44
EL DORADO,2016,3,13.36
EL DORADO,2016,4,4.16
EL DORADO,2016,5,0.99
EL DORADO,2016,6,0.0
EL DORADO,2016,7,0.0
EL DORADO,2016,8,0.0
EL DORADO,2016,9,0.0
EL DORADO,2016,10,13.12
EL DORADO,2016,11,5.71
EL DORADO,2016,12,9.6
EL DORADO,2017,1,24.55
EL DORADO,2017,2,21.85
EL DORADO,2017,3,5.85
EL DORADO,2017,4,7.47
EL DORADO,2017,5,0.38
EL DORADO,2017,6,0.75
EL DORADO,2017,7,0.0
EL DORADO,2017,8,0.0
EL DORADO,2017,9,0.34
EL DORADO,2017,10,0.48
EL DORADO,2017,11,9.27
EL DORADO,2017,12,1.12
EL DORADO,2018,1,6.8
EL DORADO,2018,2,1.04
EL DORADO,2018,3,16.32
EL DORADO,2018,4,5.16
EL DORADO,2018,5,1.16
EL DORADO,2018,6,0.12
EL DORADO,2018,7,0.0
EL DORADO,2018,8,0.0
EL DORADO,2018,9,0.0
EL DORADO,2018,10,0.4
EL DORADO,2018,11,6.68
EL DORADO,2018,12,4.2
EL DORADO,2019,1,10.0
EL DORADO,2019,2,21.08
EL DORADO,2019,3,11.08
EL DORADO,2019,4,3.76
EL DORADO,2019,5,8.68
EL DORADO,2019,6,0.24
EL DORADO,2019,7,0.0
EL DORADO,2019,8,0.0
EL DORADO,2019,9,1.2
EL DORADO,2019,10,0.12
EL DORADO,2019,11,2.04
EL DORADO,2019,12,8.4
EL DORADO,2020,1,3.8
EL DORADO,2020,2,0.04
EL DORADO,2020,3,10.24
EL DORADO,2020,4,4.2
EL DORADO,2020,5,3.72
EL DORADO,2020,6,0.08
EL DORADO,2020,7,0.0
EL DORADO,2020,8,0.0
EL DORADO,2020,9,0.0
EL DORADO,2020,10,0.0
EL DORADO,2020,11,3.64
EL DORADO,2020,12,3.92
EL DORADO,2021,1,7.16
EL DORADO,2021,2,4.8
EL DORADO,2021,3,4.48
EL DORADO,2021,4,0.6
EL DORADO,2021,5,0.0
EL DORADO,2021,6,0.0
EL DORADO,2021,7,0.0
EL DORADO,2021,8,0.0
EL DORADO,2021,9,0.32
EL DORADO,2021,10,12.88
EL DORADO,2021,11,1.68
EL DORADO,2021,12,13.24
EL DORADO,2022,1,0.64
EL DORADO,2022,2,1.08
EL DORADO,2022,3,1.32
EL DORADO,2022,4,8.44
EL DORADO,2022,5,0.52
EL DORADO,2022,6,1.08
EL DORADO,2022,7,0.0
EL DORADO,2022,9,1.24
EL DORADO,2022,10,0.0
EL DORADO,2022,11,5.28
EL DORADO,2022,12,22.68
EL DORADO,2023,1,20.36
EL DORADO,2023,2,5.23
EL DORADO,2023,3,16.83
EL DORADO,2023,4,0.4
EL DORADO,2023,5,2.6
EL DORADO,2023,6,1.56
EL DORADO,2023,7,0.0
EL DORADO,2023,8,0.84
EL DORADO,2023,9,0.64
EL DORADO,2023,10,0.52
EL DORADO,2023,11,2.92
EL DORADO,2023,12,4.44
EL DORADO,2024,1,8.96
EL DORADO,2024,2,8.6
EL DORADO,2024,3,12.16
EL DORADO,2024,4,1.76
EL DORADO,2024,5,1.88
EL DORADO,2024,6,0.0
EL DORADO,2024,7,0.0
EL DORADO,2024,8,0.0
EL DORADO,2024,9,0.28
EL DORADO,2024,10,0.69
EL DORADO,2024,11,23.29
EL DORADO,2024,12,34.08
EL DORADO,2025,1,7.01
EL DORADO,2025,2,46.84
EL DORADO,2025,3,40.39
EL DORADO,2025,4,9.32
EL DORADO,2025,5,1.55
EL DORADO,2025,6,0.04
FRESNO,2009,10,3.35
FRESNO,2009,11,0.18
FRESNO,2009,12,4.87
FRESNO,2010,1,4.52
FRESNO,2010,2,3.86
FRESNO,2010,3,1.65
FRESNO,2010,4,4.04
FRESNO,2010,5,0.31
FRESNO,2010,6,0.0
FRESNO,2010,7,0.06
FRESNO,2010,8,0.0
FRESNO,2010,9,0.0
FRESNO,2010,10,2.06
FRESNO,2010,11,3.58
FRESNO,2010,12,12.13
FRESNO,2011,1,2.5
FRESNO,2011,2,2.72
FRESNO,2011,3,6.1
FRESNO,2011,4,0.64
FRESNO,2011,5,1.09
FRESNO,2011,6,2.01
FRESNO,2011,7,0.05
FRESNO,2011,8,0.0
FRESNO,2011,9,0.0
FRESNO,2011,10,1.98
FRESNO,2011,11,1.15
FRESNO,2011,12,0.0
FRESNO,2012,1,2.94
FRESNO,2012,2,1.61
FRESNO,2012,3,3.51
FRESNO,2012,4,3.2
FRESNO,2012,5,0.02
FRESNO,2012,6,0.01
FRESNO,2012,7,0.0
FRESNO,2012,8,0.01
FRESNO,2012,9,0.0
FRESNO,2012,10,0.36
FRESNO,2012,11,1.94
FRESNO,2012,12,5.07
FRESNO,2013,1,0.82
FRESNO,2013,2,1.28
FRESNO,2013,3,0.41
FRESNO,2013,4,0.21
FRESNO,2013,5,0.07
FRESNO,2013,6,0.0
FRESNO,2013,7,0.0
FRESNO,2013,8,0.11
FRESNO,2013,9,0.08
FRESNO,2013,10,0.7
FRESNO,2013,11,0.44
FRESNO,2013,12,0.52
FRESNO,2014,1,0.59
FRESNO,2014,2,3.6
FRESNO,2014,3,1.23
FRESNO,2014,4,1.23
FRESNO,2014,5,0.35
FRESNO,2014,6,0.04
FRESNO,2014,7,0.0
FRESNO,2014,8,0.0
FRESNO,2014,9,0.08
FRESNO,2014,10,0.44
FRESNO,2014,11,1.76
FRESNO,2014,12,3.09
FRESNO,2015,1,0.05
FRESNO,2015,2,3.19
FRESNO,2015,3,0.15
FRESNO,2015,4,0.86
FRESNO,2015,5,0.18
FRESNO,2015,6,0.01
FRESNO,2015,7,0.69
FRESNO,2015,8,0.0
FRESNO,2015,9,0.83
FRESNO,2015,10,0.37
FRESNO,2015,11,3.96
FRESNO,2015,12,4.06
FRESNO,2016,1,7.51
FRESNO,2016,2,0.48
FRESNO,2016,3,3.85
FRESNO,2016,4,1.96
FRESNO,2016,5,1.13
FRESNO,2016,6,0.09
FRESNO,2016,7,0.04
FRESNO,2016,8,0.0
FRESNO,2016,9,0.01
FRESNO,2016,10,1.25
FRESNO,2016,11,1.66
FRESNO,2016,12,4.83
FRESNO,2017,1,10.99
FRESNO,2017,2,7.1
FRESNO,2017,3,1.94
FRESNO,2017,4,2.93
FRESNO,2017,5,0.11
FRESNO,2017,6,0.06
FRESNO,2017,7,0.07
FRESNO,2017,8,0.19
FRESNO,2017,9,0.59
FRESNO,2017,10,0.19
FRESNO,2017,11,1.03
FRESNO,2017,12,0.04
FRESNO,2018,1,2.3
FRESNO,2018,2,0.39
FRESNO,2018,3,8.53
FRESNO,2018,4,1.44
FRESNO,2018,5,0.13
FRESNO,2018,6,0.03
FRESNO,2018,7,0.06
FRESNO,2018,8,0.22
FRESNO,2018,9,0.36
FRESNO,2018,10,0.32
FRESNO,2018,11,3.69
FRESNO,2018,12,3.69
FRESNO,2019,1,4.87
FRESNO,2019,2,7.8
FRESNO,2019,3,3.51
FRESNO,2019,4,0.64
FRESNO,2019,5,2.57
FRESNO,2019,6,0.54
FRESNO,2019,7,0.22
FRESNO,2019,8,0.21
FRESNO,2019,9,0.2
FRESNO,2019,10,0.2
FRESNO,2019,11,0.2
FRESNO,2019,12,3.2
FRESNO,2020,1,0.0
FRESNO,2020,2,0.31
FRESNO,2020,3,0.01
FRESNO,2020,4,0.0
FRESNO,2020,5,0.28
FRESNO,2020,6,0.1
FRESNO,2020,7,0.0
FRESNO,2020,8,0.0
FRESNO,2020,9,0.0
FRESNO,2020,10,0.0
FRESNO,2020,11,0.5
FRESNO,2020,12,1.53
FRESNO,2021,1,3.99
FRESNO,2021,2,0.9
FRESNO,2021,3,2.2
FRESNO,2021,4,0.15
FRESNO,2021,5,0.05
FRESNO,2021,6,0.03
FRESNO,2021,7,0.01
FRESNO,2021,8,0.23
FRESNO,2021,9,0.01
FRESNO,2021,10,2.98
FRESNO,2021,11,0.49
FRESNO,2021,12,8.41
FRESNO,2022,1,1.42
FRESNO,2022,2,0.18
FRESNO,2022,3,1.07
FRESNO,2022,4,0.86
FRESNO,2022,5,0.03
FRESNO,2022,6,0.06
FRESNO,2022,7,0.0
FRESNO,2022,8,0.0
FRESNO,2022,9,0.1
FRESNO,2022,10,0.0
FRESNO,2022,11,2.71
FRESNO,2022,12,6.99
FRESNO,2023,1,9.34
FRESNO,2023,2,6.69
FRESNO,2023,3,9.98
FRESNO,2023,4,0.25
FRESNO,2023,5,0.25
FRESNO,2023,6,0.15
FRESNO,2023,7,0.15
FRESNO,2023,8,0.74
FRESNO,2023,9,0.1
FRESNO,2023,10,0.02
FRESNO,2023,11,0.21
FRESNO,2023,12,1.2
FRESNO,2024,1,2.37
FRESNO,2024,2,4.99
FRESNO,2024,3,3.9
FRESNO,2024,4,2.11
FRESNO,2024,5,0.67
FRESNO,2024,6,0.08
FRESNO,2024,7,0.02
FRESNO,2024,8,0.04
FRESNO,2024,9,0.05
FRESNO,2024,10,0.0
FRESNO,2024,11,2.7
FRESNO,2024,12,1.15
FRESNO,2025,1,0.32
FRESNO,2025,2,3.16
FRESNO,2025,3,5.58
FRESNO,2025,4,0.69
FRESNO,2025,5,0.0
FRESNO,2025,6,0.1
Fresno,2009,10,1.39
Fresno,2009,11,0.2
Fresno,2009,12,2.41
Fresno,2010,1,2.05
Fresno,2010,2,2.95
Fresno,2010,3,0.96
Fresno,2010,4,2.19
Fresno,2010,5,0.21
Fresno,2010,6,0.0
Fresno,2010,7,0.0
Fresno,2010,8,0.0
Fresno,2010,9,0.0
Fresno,2010,10,0.44
Fresno,2010,11,1.8
Fresno,2010,12,5.92
Fresno,2011,1,1.72
Fresno,2011,2,1.6
Fresno,2011,3,3.46
Fresno,2011,4,0.32
Fresno,2011,5,0.35
Fresno,2011,6,1.91
Fresno,2011,7,0.0
Fresno,2011,8,0.0
Fresno,2011,9,0.0
Fresno,2011,10,0.9
Fresno,2011,11,0.67
Fresno,2011,12,0.0
Fresno,2012,1,1.38
Fresno,2012,2,0.75
Fresno,2012,3,2.43
Fresno,2012,4,2.02
Fresno,2012,5,0.0
Fresno,2012,6,0.0
Fresno,2012,7,0.0
Fresno,2012,8,0.0
Fresno,2012,9,0.0
Fresno,2012,10,0.25
Fresno,2012,11,1.11
Fresno,2012,12,2.03
Fresno,2013,1,0.58
Fresno,2013,2,0.89
Fresno,2013,3,0.65
Fresno,2013,4,0.09
Fresno,2013,5,0.07
Fresno,2013,6,0.0
Fresno,2013,7,0.0
Fresno,2013,8,0.0
Fresno,2013,9,0.01
Fresno,2013,10,0.03
Fresno,2013,11,0.54
Fresno,2013,12,0.15
Fresno,2014,1,0.57
Fresno,2014,2,2.11
Fresno,2014,3,0.62
Fresno,2014,4,0.74
Fresno,2014,5,0.04
Fresno,2014,6,0.0
Fresno,2014,7,0.01
Fresno,2014,8,0.0
Fresno,2014,9,0.18
Fresno,2014,10,0.5
Fresno,2014,11,0.4
Fresno,2014,12,2.29
Fresno,2015,1,0.21
Fresno,2015,2,1.13
Fresno,2015,3,0.06
Fresno,2015,4,1.25
Fresno,2015,5,0.57
Fresno,2015,6,0.01
Fresno,2015,7,0.43
Fresno,2015,8,0.0
Fresno,2015,9,0.12
Fresno,2015,10,0.49
Fresno,2015,11,1.74
Fresno,2015,12,2.97
Fresno,2016,1,4.42
Fresno,2016,2,0.33
Fresno,2016,3,2.93
Fresno,2016,4,1.06
Fresno,2016,5,0.29
Fresno,2016,6,0.06
Fresno,2016,7,0.0
Fresno,2016,8,0.0
Fresno,2016,9,0.0
Fresno,2016,10,0.67
Fresno,2016,11,1.38
Fresno,2016,12,2.51
Fresno,2017,1,5.5
Fresno,2017,2,2.52
Fresno,2017,3,1.08
Fresno,2017,4,3.42
Fresno,2017,5,0.12
Fresno,2017,6,0.0
Fresno,2017,7,0.0
Fresno,2017,8,0.0
Fresno,2017,9,0.16
Fresno,2017,10,0.09
Fresno,2017,11,0.28
Fresno,2017,12,0.04
Fresno,2018,1,1.23
Fresno,2018,2,0.26
Fresno,2018,3,4.19
Fresno,2018,4,0.64
Fresno,2018,5,0.0
Fresno,2018,6,0.0
Fresno,2018,7,0.0
Fresno,2018,8,0.0
Fresno,2018,9,0.0
Fresno,2018,10,0.1
Fresno,2018,11,1.67
Fresno,2018,12,0.56
Fresno,2019,1,2.23
Fresno,2019,2,3.26
Fresno,2019,3,1.26
Fresno,2019,4,0.39
Fresno,2019,5,2.38
Fresno,2019,6,0.0
Fresno,2019,7,0.0
Fresno,2019,8,0.0
Fresno,2019,9,0.0
Fresno,2019,10,0.0
