station_id,station_name,oct,nov,dec,jan,feb,mar,apr,may,jun,jul,aug,sep
APU,ANGWIN PACIFIC UNION COL,1.44,13.07,13.54,1.22,0.54,,1.1,,1.17,0.0,0.0,1.04
ASM,ASH MOUNTAIN,1.94,1.46,6.92,1.81,1.37,0.98,0.53,0.37,0.0,0.0,0.0,0.0
ATW,ATWELL CAMP,0.98,3.7,10.11,3.03,1.21,0.98,1.58,1.74,0.74,0.52,0.44,0.51
ABR,AUBERRY 2 NW,0.68,5.0,5.76,,,1.0,0.38,0.25,0.0,0.01,,
AUB,AUBURN,1.95,7.93,11.19,0.63,0.5,1.49,1.64,0.72,0.89,0.0,0.0,0.37
BFK,BAKERSFIELD AIRPORT,0.02,0.1,0.65,0.83,0.6,0.83,0.05,0.05,0.0,0.0,0.0,0.0
BFS,BARSTOW,0.13,0.0,0.74,0.43,0.23,0.41,0.0,0.0,0.0,0.33,0.57,0.14
BRM,BEAR TRAP MEADOW,0.03,7.93,10.89,3.09,0.81,2.79,1.6,,,,,0.45
BGB,BIG BAR,1.37,6.58,10.3,1.34,0.9,2.41,1.52,0.88,0.58,0.0,0.91,2.01
BBE,BIG BEAR LAKE,0.07,0.83,2.38,1.49,2.18,1.02,0.05,0.55,0.0,1.18,0.85,1.09
BGC,BIG CREEK 1,1.08,5.05,6.55,1.5,0.6,2.1,0.7,,,,,
BGS,BIG SUR STATE PARK,0.76,10.82,10.13,2.82,,,,,,0.0,,
BIS,BISHOP,0.42,0.04,0.77,0.0,0.0,0.0,0.0,0.42,0.0,0.43,,0.02
BYM,BLUE CANYON (DWR-2),5.08,17.76,19.46,1.88,1.15,5.94,1.71,2.03,3.54,0.0,0.04,
BLY,BLYTHE,0.27,0.0,0.86,0.8,0.01,0.03,0.0,0.0,0.0,0.54,0.66,0.57
BCA,BOCA,1.03,2.94,8.13,0.3,0.06,1.31,0.22,1.61,0.23,0.36,0.01,0.49
BDE,BODIE,0.35,0.59,3.57,0.3,0.39,0.12,0.55,0.01,0.0,1.26,1.04,0.46
BOW,BOWMAN,3.08,15.68,22.59,2.01,1.34,3.27,2.08,2.81,2.47,0.0,0.0,3.5
BDG,BRIDGEPORT R S,0.46,0.6,4.63,0.25,0.04,0.44,0.14,0.31,0.22,1.23,0.37,0.37
BCM,BRUSH CREEK (DWR-2),4.93,18.36,26.83,1.68,1.05,6.88,2.16,0.84,3.09,0.02,0.0,
CCH,CACHUMA LAKE,0.12,1.34,2.95,1.75,0.4,0.8,0.19,0.02,0.0,0.02,0.0,0.0
CVT,CALAVERAS BIG TREES,2.31,12.8,14.23,0.98,1.09,3.88,1.09,1.08,0.9,0.0,0.0,0.7
CAL,CALLAHAN,0.84,4.47,4.37,0.69,0.34,1.62,0.44,2.16,0.17,1.53,0.35,1.48
CPD,CAMP PARDEE,0.62,3.98,5.76,1.03,0.38,2.04,0.81,0.59,0.16,0.0,0.0,0.82
CPT,CAPLES (TWIN) LAKE,2.14,6.44,11.31,1.44,0.51,3.17,1.32,3.13,0.88,0.25,0.23,
CDV,CEDARVILLE,0.99,1.34,3.64,0.96,0.54,0.29,1.39,1.72,0.52,0.3,0.52,0.78
CHL,CHALLENGE RANGER STATION,,,,,,,,,,,,
CVD,CHERRY VALLEY DAM,1.47,7.76,19.06,1.03,0.63,,1.32,,0.89,0.0,0.0,0.48
CHS,CHESTER,1.38,7.11,11.62,0.52,0.47,2.76,0.58,1.47,1.26,0.06,0.05,0.69
CES,CHICO UNIV FARM,1.58,3.38,5.94,1.09,0.5,0.86,1.4,0.13,0.69,0.0,0.0,1.15
CNL,CHINA LAKE ARMITAGE,0.03,0.0,0.02,0.32,0.0,0.19,0.0,0.0,,,,0.01
CLN,COALINGA,0.01,,,,0.38,0.0,0.02,0.01,0.0,0.0,0.0,0.0
CFF,COFFEE CREEK RANGER STATION,1.98,17.91,7.56,,,,,1.2,2.11,0.95,0.56,1.45
CLF,COLFAX,0.35,12.36,13.42,1.17,0.57,3.44,1.12,1.28,1.68,0.0,,0.88
CTT,COTTONWOOD GATES,0.26,0.02,0.19,0.17,0.0,0.0,0.0,0.03,0.0,0.84,,0.0
COV,COVELO 1 NNE,2.48,6.07,11.92,0.2,0.99,2.7,2.35,0.4,0.29,,0.0,
CRC,CROOKED CREEK (LONG VALLEY),0.24,0.42,2.12,0.06,0.0,0.0,0.02,0.3,0.06,0.39,,0.1
CUY,CUYAMACA DAM,1.02,1.48,5.9,2.12,1.05,1.72,0.15,,0.0,0.57,2.27,1.38
DVS,DAVIS 2WSW,0.66,3.55,7.33,0.85,0.18,0.9,0.79,0.62,0.14,0.0,0.0,0.67
DSB,DE SABLA (PG&E),2.29,15.17,21.9,1.66,1.31,5.45,1.04,0.94,2.28,0.0,0.14,2.09
DTV,DEATH VALLEY,0.59,0.0,0.02,0.17,0.0,0.57,0.0,0.0,0.0,0.75,0.07,0.23
DMS,DONNER MEM ST PARK,2.62,3.09,10.88,1.41,0.3,2.81,0.23,1.25,1.0,0.0,0.0,0.35
DWV,DOWNIEVILLE,5.22,17.7,17.93,1.93,1.47,4.44,1.54,1.48,1.72,0.0,0.03,3.72
DYL,DOYLE,,,,,,,,,,,,0.26
DNM,DUNSMUIR TREATMENT PLANT,2.0,16.01,17.6,1.91,0.48,5.07,1.44,1.07,2.57,0.03,0.02,4.31
EGL,EAGLE CREEK,1.6,2.09,9.81,3.39,2.55,1.08,1.52,1.25,0.42,0.82,0.66,0.07
ELC,EL CAPITAN DAM,0.38,0.4,3.51,2.03,0.53,1.26,0.12,0.58,0.0,,,0.0
ERY,ELLERY LAKE,1.25,2.5,5.1,0.44,0.16,1.1,0.36,0.8,0.24,0.04,0.2,0.4
ELS,ELSINORE,0.36,0.14,1.73,0.91,0.46,0.46,0.0,0.14,0.0,0.0,0.0,0.0
ENG,ENGLEBRIGHT (USACE),2.55,10.23,13.54,0.56,0.77,2.98,1.19,0.42,1.11,0.0,0.01,0.79
ERK,EUREKA WOODLEY ISLAND,2.72,6.36,10.97,2.57,1.78,3.09,2.44,1.17,0.43,0.0,0.08,3.14
FRF,FAIRFIELD,1.48,4.75,,0.6,0.11,1.07,1.41,0.37,0.0,0.0,0.0,1.1
FMT,FAIRMONT,0.0,0.24,0.32,0.62,0.23,0.22,0.01,0.26,0.0,0.14,,0.0
NIC,FEATHER RIVER NEAR NICOLAUS,1.07,4.28,4.52,0.94,0.81,1.46,0.92,,,,,0.67
FDD,FIDDLETOWN,2.03,5.53,10.45,1.33,0.81,2.89,1.16,0.93,0.4,0.0,0.0,1.28
FLR,FLORENCE LAKE (SCE),0.75,,,,0.14,0.9,0.4,,,,,
FLD,FOLSOM DAM - FOLSOM POINT (DYKE 8),1.57,6.22,6.15,0.63,0.27,1.62,0.74,,0.47,0.0,,
FRH,FORESTHILL R S,2.83,12.13,17.15,1.74,1.06,3.06,2.06,1.53,1.4,0.0,0.0,1.66
FBW,FORT BIDWELL,0.8,2.27,4.16,0.6,0.73,0.47,0.78,1.29,0.91,0.17,0.54,1.06
FJN,FORT JONES RS,0.73,3.58,7.18,2.86,0.55,0.77,1.29,1.96,0.3,0.0,0.55,1.65
FRR,FORT ROSS,2.48,,,1.2,,,,,,,,
FRO,FRESNO WB AIRPORT,0.25,1.11,2.03,0.58,0.89,0.65,0.09,0.07,0.0,0.0,0.0,0.01
GAS,GASQUET RANGER STATION,6.82,17.06,25.24,5.26,4.62,5.76,6.28,3.74,2.34,0.0,0.44,10.65
GLK,GEM LAKE,1.3,2.7,2.6,1.4,0.2,0.76,0.24,0.12,0.12,0.6,0.76,0.4
GRG,GEORGETOWN RS (USFS),3.03,11.55,17.53,1.57,0.97,3.35,1.75,1.95,1.82,0.0,0.0,1.96
GNF,GIANT FOREST (USACE),1.16,4.38,10.49,3.69,1.02,1.67,1.54,1.23,0.13,0.15,0.1,0.07
GLV,GLENVILLE FS,0.86,1.17,5.0,1.76,1.53,0.39,0.6,0.22,0.0,0.01,0.71,0.15
GRO,GRANT GROVE,1.23,3.97,12.52,2.43,1.21,1.72,0.89,0.46,0.0,0.32,0.21,0.21
GSV,GRASS VALLEY,2.97,12.52,18.05,1.45,1.01,3.15,2.37,1.1,1.95,0.0,0.01,2.61
GNV,GREENVILLE RS,,,,,,,,,,,,
GVL,GROVELAND R S,0.68,4.5,8.59,0.98,1.06,2.12,0.9,0.62,0.63,0.0,0.0,0.15
GHS,GROVER HOT SPRINGS,1.16,3.18,5.86,0.42,0.21,0.6,1.1,1.29,0.27,1.47,0.02,0.32
HWE,HAIWEE,0.0,0.05,0.15,0.38,0.0,0.1,0.01,0.05,0.0,1.31,,0.02
HND,HANFORD REFINERY,0.14,0.34,1.52,0.25,0.42,0.67,0.08,0.18,0.0,0.0,0.0,0.01
HAP,HAPPY CAMP RS,4.19,10.25,,2.23,0.82,3.19,3.15,1.32,0.21,0.0,0.73,3.49
HRR,HARRISON GULCH RS,,,,,,,,,,,,
HSD,HENSHAW DAM,0.26,0.82,4.19,2.13,2.18,2.07,0.13,0.87,0.0,0.47,0.0,1.12
HTH,HETCH HETCHY,0.82,7.76,12.2,1.04,0.6,3.91,1.59,0.92,0.39,0.0,0.0,0.77
HCK,HOCKETT MEADOW (USACE),2.07,4.02,10.47,2.83,1.06,1.05,1.32,1.38,0.63,0.85,0.68,0.54
HLS,HOLLISTER,0.42,0.92,0.52,0.33,,,,,,,,
HOO,HOOPA,3.07,7.57,17.44,1.99,1.7,2.82,2.05,1.18,0.76,0.0,0.34,4.98
HSS,HOSSACK,1.06,3.42,9.92,4.05,1.6,1.68,1.97,2.25,1.25,0.54,0.29,0.04
IMP,IMPERIAL VALLEY,0.0,0.0,0.43,0.57,0.01,0.03,0.0,0.0,0.0,0.05,0.57,0.53
IPN,INDEPENDENCE,0.47,0.0,0.56,0.0,0.0,0.0,0.0,0.14,0.0,1.63,,0.13
ISB,ISABELLA DAM,0.11,0.21,1.85,0.59,3.04,0.55,0.42,0.25,0.0,0.12,0.57,0.0
JNL,JUNCAL DAM,0.5,3.54,5.0,1.44,0.25,1.01,0.05,0.43,,,,
KP3,KERN PH 3,0.14,0.18,2.69,1.32,0.38,0.46,0.19,,,,,0.0
KR3,KERN R INTAKE NO. 3,0.34,0.76,2.51,0.0,0.16,0.05,0.2,,,,,
OLS,KLAMATH RIVER AT ORLEANS,4.18,7.32,15.0,2.4,1.56,3.04,2.36,1.9,0.66,0.04,0.32,4.56
LGB,LAGUNA BEACH,0.61,0.64,2.03,1.28,0.34,0.69,0.02,0.3,0.07,0.06,0.0,0.01
LGT,LAGUNITAS LAKE,3.97,12.53,16.75,1.26,0.81,1.41,1.63,0.06,1.87,0.0,0.03,1.11
ARR,LAKE ARROWHEAD,,2.62,,,,,,,0.0,,,
LPA,LAKE PALMDALE,,,,,,,,,,,,
SBN,LAKE SABRINA,0.68,1.0,2.3,0.6,0.24,0.28,0.24,0.44,0.04,2.04,0.76,0.12
LNC,LANCASTER FSS FAA,,,,,,,,,,,,
LMC,LEMON COVE,0.12,0.95,3.13,0.85,0.89,0.54,0.18,0.49,0.0,0.05,0.1,0.0
LND,LINDSAY,0.06,0.94,2.24,0.46,1.01,1.01,0.01,0.21,0.0,0.0,0.02,0.0
LDG,LODGEPOLE,1.43,3.97,12.21,2.3,1.1,1.24,0.69,1.14,0.0,,,0.41
